Timestamp,Email address,NAME,AGE,SALARY,EXPERIENCE
2025-01-01 09:15,rahul.sharma@gmail.com,Rahul Sharma,23,32000,0-5
2025-01-02 10:30,priya.verma@yahoo.com,Priya Verma,26,45000,0-5
2025-01-03 11:45,amit.patel@outlook.com,Amit Patel,39,58000,5-10
2025-01-04 14:10,neha.singh@gmail.com,Neha Singh,24,38000,
2025-01-05 15:25,rohit.mehta@gmail.com,Rohit Mehta,41,72000,10-15
2025-01-06 09:50,anjali.kapoor@outlook.com,Anjali Kapoor,50,50000,0-5
2025-01-07 13:35,vikram.rao@yahoo.com,Vikram Rao,35,na,5-10
2025-01-08 16:00,sneha.jain@gmail.com,Sneha Jain,22,30000,0-5
2025-01-09 10:20,arjun.malhotra@gmail.com,Arjun Malhotra,28,60000,0-5
2025-01-10 12:40,pooja.nair@outlook.com,Pooja Nair,33,82000,5-10
